Module ID,Module Title,Primary Role(s),Status - Outline,Status - Student Guide,Status - Instructor Guide,Status - Slide Deck,Status - Exercise,Status - Answer Key,Status - Quiz,Owner,Target Completion,Notes
1.8.5,Incident Response Processes,SOC / Hunter / CTI,Deferred,Deferred,Deferred,Deferred,Not Started,Deferred,Not Started,,,Retired — removed from 00
3.1,Purpose of Threat Hunting,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.2,Hunt Methodology,Hunter,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Remaining 3.2 items after 3.2.1 and 3.2.2
3.2.1,Hunt Types,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.2.2,Hunt Development Concepts,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.3.1,Tool Capabilities for Hunting,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.4,CTI for Hunters,Hunter,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,"No remaining 3.4 children after 3.4.1, 3.4.2, and 3.4.3"
3.4.1,Assessing CTI for Hunting Value,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.4.2,Extracting Hunt Leads from CTI,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.4.3,STIX as Hunt Input,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.5.1,Using MITRE ATT&CK for Hunt Planning,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.6,Attacker Techniques,Hunter,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 3.6.1–3.6.3
3.6.1,Persistence Techniques,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.6.2,Privilege Escalation Techniques,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.6.3,Hunt for Specific Persistence or Privilege Escalation Techniques,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.7,Site-Specific Hunt Knowledge and Tasks,Hunter,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 3.7.1–3.7.3
3.7.1,Hunt Control and Lead Management,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.7.2,Hunt Documentation Standards,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
3.7.3,Hunt Outputs and Hand-off,Hunter / SOC / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; hunt 3.x ends; Accepted 2026-08-16
2.1,Core Intelligence Concepts,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.1.1–2.1.8
2.1.1,Data Information and Intelligence,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.2,Intelligence Lifecycle,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.3,Intelligence Types,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.4,Intelligence Requirements,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.5,Actionable Intelligence,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.6,Tailoring Output to the Audience,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.7,Attribution,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.1.8,Collection Sources and Methods,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.2,Analytic Tradecraft,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.2.1–2.2.4
2.2.1,Estimative Language,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.2.2,Structured Analytic Techniques,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.2.3,Admiralty Code,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.2.4,Cognitive Biases and Mitigation,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.3,Tools,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — child is 2.3.1; survey is 0.7
2.3.1,Internal Threat Intelligence Platform,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.4,File Similarity & Hashing Techniques,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — child is 2.4.1
2.4.1,Hashing and Similarity Concepts,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.5,RDAP / WHOIS,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — child is 2.5.1
2.5.1,RDAP and WHOIS Concepts,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.6,Advanced DNS,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — child is 2.6.1
2.6.1,Advanced DNS Concepts,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.7,Frameworks,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.7.1–2.7.4
2.7.1,MITRE ATT&CK for CTI Analysis and Reporting,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.7.2,Diamond Model Application in CTI,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.7.3,Cyber Kill Chain in Intelligence Analysis,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.7.4,MalasadaTech Defender's ThreatMesh Framework (DTF),CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,official PTA/P; no lab; Accepted 2026-08-16
2.8,Enrichment & Analysis,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.8.1–2.8.4
2.8.1,Identifying Additional Adversary Infrastructure from Seed Indicators,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.8.2,Extracting Applicable TTPs from Intelligence Reports,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.8.3,IOC Handling and Enrichment Concepts,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.8.4,Threat Relevance and Organizational Impact,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.9,Platform-Specific Skills,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.9.1–2.9.4
2.9.1,VirusTotal (Relations and Behavior Tabs),CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.9.2,AnyRun,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.9.3,Silent Push,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.9.4,URLScan,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.10,Common STIX Objects,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.10.1–2.10.2
2.10.1,Core STIX Objects,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.10.2,How STIX Objects Are Used in Intelligence Production,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.11,Intelligence Production & Dissemination,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.11.1–2.11.3
2.11.1,Creating Finished Intelligence Products,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.11.2,Disseminating Intelligence to the Correct Audiences,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.11.3,Handling RFIs,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
2.12,Site-Specific CTI Knowledge and Tasks,CTI,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 2.12.1–2.12.3
2.12.1,Local Intelligence Requirements and Priorities,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,obtain-and-follow; no lab; Accepted 2026-08-16
2.12.2,Local Production and Approval Processes,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,obtain-and-follow; no lab; Accepted 2026-08-16
2.12.3,Local Dissemination Channels and Customers,CTI / Hunter / SOC,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,obtain-and-follow; no lab; Accepted 2026-08-16
4,Detection Engineer,DE,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,Cluster heading only — children are 4.1–4.8
4.1,What DE Owns,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
4.2,Making a Detection Sound and Meeting Shop Requirements,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; field list is 4.8; Accepted 2026-08-16
4.3,Nominations from SOC Hunt and CTI,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
4.4,Tune Requests from SOC,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
4.5,Hunt and Intel Packages,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; Accepted 2026-08-16
4.6,Detection Lifecycle,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; block is not automatic retire; Accepted 2026-08-16
4.7,Sensor Availability and Performance,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,no lab; not vendor admin; Accepted 2026-08-16
4.8,Site-Specific DE Knowledge,DE / SOC / Hunter / CTI,Complete,Complete,Complete,Complete,Not Started,Complete,Not Started,,,One unit (4.8.1–4.8.2); obtain-and-follow; do not invent policy; Accepted 2026-08-16
